日付,クリック数,表示回数,CTR,掲載順位
2026-01-19,9,266,3.38%,16.1
2026-01-20,1,216,0.46%,14.8
2026-01-21,1,207,0.48%,15.7
2026-01-22,4,291,1.37%,19.5
2026-01-23,11,280,3.93%,13.8
2026-01-24,6,286,2.1%,19.9
2026-01-25,3,317,0.95%,16.4
2026-01-26,6,283,2.12%,15.6
2026-01-27,7,235,2.98%,16.9
2026-01-28,6,236,2.54%,16.3
2026-01-29,7,264,2.65%,15.9
2026-01-30,2,296,0.68%,17.7
2026-01-31,6,318,1.89%,19.9
2026-02-01,6,271,2.21%,18
2026-02-02,8,270,2.96%,15
2026-02-03,2,220,0.91%,16.5
2026-02-04,4,216,1.85%,11.6
2026-02-05,7,222,3.15%,15.8
2026-02-06,6,258,2.33%,10.8
2026-02-07,12,247,4.86%,18.7
2026-02-08,4,296,1.35%,12.9
2026-02-09,7,171,4.09%,13.2
2026-02-10,4,180,2.22%,18.6
2026-02-11,10,282,3.55%,18.9
2026-02-12,7,222,3.15%,19.2
2026-02-13,5,143,3.5%,16.4
2026-02-14,4,154,2.6%,15.1
2026-02-15,8,285,2.81%,14.7
2026-02-16,6,225,2.67%,12.5
2026-02-17,10,221,4.52%,15.3
2026-02-18,13,440,2.95%,8.9
2026-02-19,9,905,0.99%,8.5
2026-02-20,7,708,0.99%,9.1
2026-02-21,5,534,0.94%,10.4
2026-02-22,4,291,1.37%,16.3
2026-02-23,12,311,3.86%,10.8
2026-02-24,5,268,1.87%,11.6
2026-02-25,10,395,2.53%,10.6
2026-02-26,3,349,0.86%,13.8
2026-02-27,8,298,2.68%,13.3
2026-02-28,5,426,1.17%,12.1
2026-03-01,6,361,1.66%,13.9
2026-03-02,7,348,2.01%,10.7
2026-03-03,11,613,1.79%,8.9
2026-03-04,11,511,2.15%,11.6
2026-03-05,6,433,1.39%,14.9
